,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays
759.0,cloud_controller_ng.csv,gr,BATCHBISECT,2,76.2845849802372,127.0,0.0
778.0,cloud_controller_ng.csv,gr,BATCHBISECT,4,76.6798418972332,381.0,0.0
797.0,cloud_controller_ng.csv,gr,BATCH4,4,75.8893280632411,381.0,0.0
816.0,cloud_controller_ng.csv,gr,BATCHSTOP4,4,75.8893280632411,381.0,0.0
835.0,cloud_controller_ng.csv,gr,BATCHBISECT,8,82.2134387351779,893.0,0.0
854.0,cloud_controller_ng.csv,gr,BATCHSTOP4,8,81.4229249011858,893.0,0.0
873.0,cloud_controller_ng.csv,gr,BATCHBISECT,16,88.5375494071146,1917.0,0.0
892.0,cloud_controller_ng.csv,gr,BATCHSTOP4,16,86.9565217391304,1917.0,0.0
760.0,cloudify.csv,gr,BATCHBISECT,2,57.3770491803279,244.0,0.0
779.0,cloudify.csv,gr,BATCHBISECT,4,39.344262295082,732.0,0.0
798.0,cloudify.csv,gr,BATCH4,4,38.9344262295082,732.0,0.0
817.0,cloudify.csv,gr,BATCHSTOP4,4,38.9344262295082,732.0,0.0
836.0,cloudify.csv,gr,BATCHBISECT,8,32.5819672131148,1708.0,0.0
855.0,cloudify.csv,gr,BATCHSTOP4,8,32.172131147541,1708.0,0.0
874.0,cloudify.csv,gr,BATCHBISECT,16,31.3524590163934,3692.0,0.0
893.0,cloudify.csv,gr,BATCHSTOP4,16,30.9426229508197,3692.0,0.0
761.0,concerto.csv,gr,BATCHBISECT,2,60.3448275862069,145.0,0.0
780.0,concerto.csv,gr,BATCHBISECT,4,45.8620689655172,437.0,0.0
799.0,concerto.csv,gr,BATCH4,4,45.8620689655172,437.0,0.0
818.0,concerto.csv,gr,BATCHSTOP4,4,45.8620689655172,437.0,0.0
837.0,concerto.csv,gr,BATCHBISECT,8,42.4137931034483,1021.0,0.0
856.0,concerto.csv,gr,BATCHSTOP4,8,42.4137931034483,1021.0,0.0
875.0,concerto.csv,gr,BATCHBISECT,16,43.7931034482759,2189.0,0.0
894.0,concerto.csv,gr,BATCHSTOP4,16,43.7931034482759,2189.0,0.0
762.0,fog.csv,gr,BATCHBISECT,2,78.0626780626781,176.0,0.0
781.0,fog.csv,gr,BATCHBISECT,4,76.3532763532764,528.0,0.0
800.0,fog.csv,gr,BATCH4,4,71.5099715099715,528.0,0.0
819.0,fog.csv,gr,BATCHSTOP4,4,71.5099715099715,528.0,0.0
838.0,fog.csv,gr,BATCHBISECT,8,79.7720797720798,1232.0,0.0
857.0,fog.csv,gr,BATCHSTOP4,8,74.9287749287749,1232.0,0.0
876.0,fog.csv,gr,BATCHBISECT,16,83.7606837606838,2640.0,0.0
895.0,fog.csv,gr,BATCHSTOP4,16,78.3475783475784,2640.0,0.0
763.0,geoserver.csv,gr,BATCHBISECT,2,97.6190476190476,84.0,0.0
782.0,geoserver.csv,gr,BATCHBISECT,4,107.142857142857,252.0,0.0
801.0,geoserver.csv,gr,BATCH4,4,94.0476190476191,252.0,0.0
820.0,geoserver.csv,gr,BATCHSTOP4,4,94.0476190476191,252.0,0.0
839.0,geoserver.csv,gr,BATCHBISECT,8,118.452380952381,588.0,0.0
858.0,geoserver.csv,gr,BATCHSTOP4,8,105.357142857143,588.0,0.0
877.0,geoserver.csv,gr,BATCHBISECT,16,124.404761904762,1292.0,0.0
896.0,geoserver.csv,gr,BATCHSTOP4,16,111.309523809524,1292.0,0.0
764.0,gradle.csv,gr,BATCHBISECT,2,57.2710951526032,279.0,0.0
783.0,gradle.csv,gr,BATCHBISECT,4,39.4973070017953,837.0,0.0
802.0,gradle.csv,gr,BATCH4,4,39.4973070017953,837.0,0.0
821.0,gradle.csv,gr,BATCHSTOP4,4,39.4973070017953,837.0,0.0
840.0,gradle.csv,gr,BATCHBISECT,8,33.7522441651706,1957.0,0.0
859.0,gradle.csv,gr,BATCHSTOP4,8,33.7522441651706,1957.0,0.0
878.0,gradle.csv,gr,BATCHBISECT,16,33.572710951526,4197.0,0.0
897.0,gradle.csv,gr,BATCHSTOP4,16,33.572710951526,4197.0,0.0
765.0,graylog2-server.csv,gr,BATCHBISECT,2,53.6159600997506,201.0,0.0
784.0,graylog2-server.csv,gr,BATCHBISECT,4,32.1695760598504,603.0,0.0
803.0,graylog2-server.csv,gr,BATCH4,4,32.1695760598504,603.0,0.0
822.0,graylog2-server.csv,gr,BATCHSTOP4,4,32.1695760598504,603.0,0.0
841.0,graylog2-server.csv,gr,BATCHBISECT,8,23.1920199501247,1407.0,0.0
860.0,graylog2-server.csv,gr,BATCHSTOP4,8,23.1920199501247,1407.0,0.0
879.0,graylog2-server.csv,gr,BATCHBISECT,16,20.4488778054863,3015.0,0.0
898.0,graylog2-server.csv,gr,BATCHSTOP4,16,20.4488778054863,3015.0,0.0
766.0,jruby.csv,gr,BATCHBISECT,2,84.9878934624697,207.0,0.0
785.0,jruby.csv,gr,BATCHBISECT,4,88.6198547215496,621.0,0.0
804.0,jruby.csv,gr,BATCH4,4,82.3244552058111,621.0,0.0
823.0,jruby.csv,gr,BATCHSTOP4,4,82.3244552058111,621.0,0.0
842.0,jruby.csv,gr,BATCHBISECT,8,95.8837772397095,1453.0,0.0
861.0,jruby.csv,gr,BATCHSTOP4,8,89.588377723971,1453.0,0.0
880.0,jruby.csv,gr,BATCHBISECT,16,101.694915254237,3117.0,0.0
899.0,jruby.csv,gr,BATCHSTOP4,16,94.9152542372881,3117.0,0.0
